IID,sex,fa,mo,fid,pca1,pca2,pca3,pca4,pca5
115906,2,15925,15901,123,-0.031,-0.1326,0.0196,-0.0303,0.0342
115940,1,15939,15502,123,NA,NA,NA,NA,NA
9988,2,0,0,124,NA,NA,NA,NA,NA
9989,1,0,0,124,NA,NA,NA,NA,NA
28703,2,9989,9988,124,-0.0392,-0.0768,0.0457,-0.035,-0.0203
28705,2,28971,28703,124,NA,NA,NA,NA,NA
28801,1,28963,28961,124,NA,NA,NA,NA,NA
28822,1,28963,28961,124,NA,NA,NA,NA,NA
28902,2,28923,28906,124,NA,NA,NA,NA,NA
28903,2,28923,28906,124,NA,NA,NA,NA,NA
28904,2,28923,28906,124,NA,NA,NA,NA,NA
28906,2,0,0,124,NA,NA,NA,NA,NA
28907,1,28945,28902,124,-0.0418,-0.062,0.0114,-0.0194,-0.106
28910,1,28924,2892199,124,-0.039,-0.1223,0.0252,-0.0214,0.012
28912,2,0,0,124,-0.0428,0.0222,0.005,0.0023,-0.0757
28913,2,28964,28912,124,NA,NA,NA,NA,NA
28914,2,28964,28912,124,NA,NA,NA,NA,NA
28916,1,0,0,124,-0.0456,-0.1031,0.048,-0.0255,-0.1187
28917,1,28916,28913,124,NA,NA,NA,NA,NA
28918,2,28916,28913,124,-0.0334,-0.0704,0.0326,-0.0207,-0.097
28920,1,28964,28912,124,NA,NA,NA,NA,NA
28923,1,28963,28961,124,NA,NA,NA,NA,NA
28924,1,28923,28906,124,NA,NA,NA,NA,NA
28929,2,28923,28906,124,NA,NA,NA,NA,NA
28934,1,28924,2892199,124,NA,NA,NA,NA,NA
28937,2,28962,28951,124,-0.0144,-0.0682,0.0056,-0.009,-0.0283
28945,1,0,0,124,-0.0406,0.0407,-0.0287,0.0204,-0.1584
28951,2,0,0,124,-0.0068,0.0178,-0.0326,0.0179,-0.0236
28952,2,28962,28951,124,NA,NA,NA,NA,NA
28955,1,28964,28912,124,-0.041,-0.0616,0.0268,-0.0168,-0.0723
28956,2,28962,28951,124,NA,NA,NA,NA,NA
28957,1,0,0,124,NA,NA,NA,NA,NA
28958,1,28962,28951,124,-0.0275,-0.0789,0.0126,-0.0171,-0.0462
28959,1,28962,28951,124,-0.0208,-0.074,0.0178,-0.0154,-0.0408
28960,2,28962,28951,124,-0.0305,-0.0658,0.0073,-0.0096,-0.032
28961,2,0,0,124,NA,NA,NA,NA,NA
28962,1,28963,28961,124,NA,NA,NA,NA,NA
28963,1,0,0,124,NA,NA,NA,NA,NA
28964,1,28963,28961,124,NA,NA,NA,NA,NA
28971,1,0,0,124,NA,NA,NA,NA,NA
28976,1,28957,28960,124,NA,NA,NA,NA,NA
91904,1,0,0,124,NA,NA,NA,NA,NA
2892199,2,0,0,124,NA,NA,NA,NA,NA
28915,1,28965,28933,125,-0.0332,-0.0552,0.0195,-0.0139,-0.0552
28926,1,93930,93919,125,NA,NA,NA,NA,NA
28933,2,99811,99810,125,-0.0389,-0.0932,0.0333,-0.0267,-0.09
28935,2,28965,28933,125,-0.0378,-0.0692,0.0249,-0.02,-0.0693
28936,1,28965,28933,125,-0.0299,-0.0637,0.027,-0.0171,-0.0676
28938,2,28965,28933,125,NA,NA,NA,NA,NA
28939,1,28967,28938,125,NA,NA,NA,NA,NA
28940,2,28969,28968,125,0.0828,-0.0482,0.0221,-0.0184,-0.0435
28941,2,28915,2891499,125,-0.0391,-0.0713,0.0227,-0.015,-0.0642
28944,1,28965,28933,125,-0.0389,-0.057,0.0209,-0.0171,-0.0633
28953,2,28966,28935,125,-0.0338,-0.0216,0.0076,-0.0049,-0.0388
28965,1,0,0,125,NA,NA,NA,NA,NA
28966,1,0,0,125,NA,NA,NA,NA,NA
28967,1,0,0,125,NA,NA,NA,NA,NA
28968,2,28965,28933,125,NA,NA,NA,NA,NA
28969,1,0,0,125,NA,NA,NA,NA,NA
28979,1,28967,28938,125,NA,NA,NA,NA,NA
93101,2,93501,93502,125,NA,NA,NA,NA,NA
93201,1,0,0,125,0.0443,8.00E-04,-1.00E-04,0.0292,-0.0334
93501,1,93503,93935,125,-0.0284,0.0026,-0.1252,-0.2828,0.0341
93502,2,93933,93506,125,-0.0366,-0.1381,-0.0095,0.0339,0.1838
93503,1,0,0,125,-0.0347,0.0639,-0.2306,-0.4649,0.0726
93506,2,0,0,125,-0.0422,-0.1418,-0.0115,0.0549,0.2122
93602,2,93501,93502,125,-0.0334,-0.0455,-0.0978,-0.1817,0.1152
93803,1,93503,93935,125,-0.0315,0.0106,-0.1206,-0.2682,0.0279
93804,1,93503,93935,125,-0.0285,0.0038,-0.1116,-0.2516,0.0231
93806,1,93503,93935,125,-0.0284,0.0075,-0.1134,-0.2485,0.0359
93807,2,93503,93935,125,NA,NA,NA,NA,NA
93809,2,93503,93935,125,-0.0304,0.0082,-0.1272,-0.2845,0.0331
93812,2,93933,93506,125,-0.0347,-0.1451,-0.008,0.0327,0.1895
93814,2,93933,93506,125,NA,NA,NA,NA,NA
93815,2,93933,93506,125,-0.0384,-0.1434,-0.0095,0.0337,0.185
93817,1,93933,93506,125,NA,NA,NA,NA,NA
93818,1,93933,93506,125,-0.0286,-0.1245,-0.0111,0.0341,0.1621
93819,2,93933,93506,125,-0.0385,-0.1413,-0.007,0.0337,0.1759
93901,2,0,0,125,-0.0327,0.0369,-0.0233,0.0153,-0.0095
93902,2,93934,93819,125,-0.0264,-0.0688,-0.0135,0.0088,0.0985
93903,2,93904,93812,125,-0.0404,-0.0606,-0.0152,0.0251,0.0585
93904,1,0,0,125,-0.044,0.0162,-0.0215,0.0185,-0.0812
93905,2,93934,93819,125,-0.0305,-0.0773,-0.0115,-9.00E-04,0.0899
93906,1,93804,93901,125,0.003,0.025,-0.022,0.0111,-0.0137
93907,2,93806,93937,125,NA,NA,NA,NA,NA
93908,1,93904,93812,125,NA,NA,NA,NA,NA
93909,1,93933,93506,125,NA,NA,NA,NA,NA
93910,1,0,0,125,NA,NA,NA,NA,NA
93911,2,93910,93814,125,NA,NA,NA,NA,NA
93912,2,0,0,125,-0.0048,0.0343,-0.0191,0.0281,-0.0249
93913,2,93803,93912,125,NA,NA,NA,NA,NA
93914,1,93803,93912,125,-0.0164,0.0233,-0.074,-0.1235,-0.0011
93915,1,93933,93506,125,NA,NA,NA,NA,NA
93916,2,93818,93917,125,-0.0342,-0.1993,0.057,-0.0268,0.0225
93917,2,0,0,125,-0.0347,-0.249,0.1206,-0.0808,-0.1281
93918,1,93818,93917,125,NA,NA,NA,NA,NA
93919,2,0,0,125,-0.036,-0.1249,0.0207,0.0165,0.084
93920,2,93930,93919,125,0.1948,-0.0039,0.0071,-0.0011,-0.0021
93921,2,0,0,125,-0.0253,-0.0501,0.0419,-0.0162,-0.114
93926,2,93503,93921,125,NA,NA,NA,NA,NA
93930,1,93931,93932,125,NA,NA,NA,NA,NA
93931,1,0,0,125,NA,NA,NA,NA,NA
93932,2,0,0,125,NA,NA,NA,NA,NA
93933,1,93931,93932,125,NA,NA,NA,NA,NA
93934,1,0,0,125,NA,NA,NA,NA,NA
93935,2,0,0,125,NA,NA,NA,NA,NA
93936,1,93201,93101,125,NA,NA,NA,NA,NA
93937,2,0,0,125,NA,NA,NA,NA,NA
99810,2,0,0,125,NA,NA,NA,NA,NA
99811,1,0,0,125,NA,NA,NA,NA,NA
2891499,2,0,0,125,NA,NA,NA,NA,NA
36719,2,3660399,85608,126,-0.038,-0.1448,0.0401,-0.0211,-0.0263
36724,2,3660399,85608,126,NA,NA,NA,NA,NA
85101,2,85920,85921,126,-0.0465,-0.1617,0.0503,-0.0412,-0.0435
85601,1,85920,85921,126,-0.0417,-0.1579,0.0419,-0.0284,-0.0382
85602,2,85920,85921,126,NA,NA,NA,NA,NA
85603,1,85920,85921,126,-0.0415,-0.1647,0.048,-0.0355,-0.0431
85604,2,85920,85921,126,NA,NA,NA,NA,NA
85605,2,85920,85921,126,NA,NA,NA,NA,NA
85607,1,85920,85921,126,NA,NA,NA,NA,NA
85608,2,85920,85921,126,-0.0377,-0.1642,0.0528,-0.0331,-0.0407
85609,2,0,0,126,NA,NA,NA,NA,NA
85702,1,85901,85602,126,NA,NA,NA,NA,NA
85704,1,85901,85602,126,-0.0424,-0.1645,0.0304,-0.0147,0.0373
85705,2,85603,85910,126,-0.0357,-0.0768,0.0186,-0.0042,-0.0146
85707,1,85902,85604,126,NA,NA,NA,NA,NA
85711,1,3660399,85608,126,NA,NA,NA,NA,NA
85712,1,3660399,85608,126,-0.0378,-0.1478,0.0461,-0.0216,-0.0402
85715,2,3660399,85608,126,NA,NA,NA,NA,NA
85720,2,3660399,85608,126,-0.0338,-0.1517,0.0466,-0.0232,-0.0282
85721,1,85601,85609,126,-0.0102,-0.1136,0.0269,-0.008,-0.0364
85722,2,85603,85910,126,-0.0369,-0.0813,0.0185,-0.0141,-0.0202
85801,2,85923,85922,126,NA,NA,NA,NA,NA
85805,2,85923,85922,126,NA,NA,NA,NA,NA
85901,1,0,0,126,-0.045,-0.1591,0.0047,0.0139,0.1361
85902,1,0,0,126,-0.0423,-0.2369,0.1215,-0.0922,-0.1297
85903,1,85908,85801,126,NA,NA,NA,NA,NA
85904,1,85927,85926,126,NA,NA,NA,NA,NA
85905,1,85927,85926,126,NA,NA,NA,NA,NA
85906,2,85925,85924,126,-0.0392,-0.108,0.0389,-0.0265,-0.0359
85907,2,85908,85801,126,-0.0413,-0.1331,0.0448,-0.026,-0.0326
85908,1,85925,85924,126,-0.0295,-0.1034,0.0375,-0.019,-0.0399
85909,2,85908,85801,126,-0.0407,-0.1357,0.0517,-0.0237,-0.0439
85910,2,0,0,126,NA,NA,NA,NA,NA
85911,1,85603,85910,126,0.1075,0.0086,-0.0049,0.0021,8.00E-04
85920,1,85923,85922,126,NA,NA,NA,NA,NA
85921,2,0,0,126,NA,NA,NA,NA,NA
85922,2,0,0,126,NA,NA,NA,NA,NA
85923,1,0,0,126,NA,NA,NA,NA,NA
85924,2,0,0,126,NA,NA,NA,NA,NA
85925,1,0,0,126,NA,NA,NA,NA,NA
85926,2,85925,85924,126,NA,NA,NA,NA,NA
85927,1,0,0,126,NA,NA,NA,NA,NA
3660399,1,0,0,126,NA,NA,NA,NA,NA
99822,1,0,0,127,NA,NA,NA,NA,NA
116502,2,116930,116931,127,-0.0259,-0.0106,0.0037,0.0048,-0.0118
116801,1,116930,116931,127,NA,NA,NA,NA,NA
116902,2,116801,116903,127,-0.0207,0.005,-0.0109,0.0117,0.0023
116903,2,0,0,127,NA,NA,NA,NA,NA
116904,1,116801,116903,127,-0.0212,0.0071,-0.0146,0.0118,0.0018
116906,2,116801,116903,127,-0.0216,0.009,-0.0164,0.0183,4.00E-04
116907,1,116801,116903,127,-0.0204,0.0076,-0.0141,0.0122,2.00E-04
116908,2,0,0,127,NA,NA,NA,NA,NA
116912,2,116930,116931,127,NA,NA,NA,NA,NA
116913,2,116914,116934,127,-0.0313,-0.0239,0.0074,-4.00E-04,-0.0104
116914,1,116930,116931,127,-0.0291,-0.0107,0.0023,0.0028,-0.0072
116915,2,116914,116934,127,-0.029,-0.0198,0.0056,-0.0011,-0.0111
116916,2,99822,116915,127,-0.0353,0.0175,0.0473,-0.0092,0.0087
116918,1,116914,116934,127,-0.0294,-0.018,0.0102,0.0065,-0.0096
116919,2,0,0,127,-0.0205,0.0189,-0.0168,0.0255,-0.0033
116920,1,116932,116933,127,NA,NA,NA,NA,NA
116921,2,116907,116919,127,-0.0263,0.0193,-0.0097,0.015,-0.0163
116922,2,116907,116919,127,-0.0271,0.0203,-0.0098,0.0198,-0.0151
116923,1,116932,116933,127,-0.021,-0.0071,0.0025,0.0057,0.0052
116930,1,0,0,127,NA,NA,NA,NA,NA
116931,2,0,0,127,NA,NA,NA,NA,NA
116932,1,0,0,127,NA,NA,NA,NA,NA
116933,2,116930,116931,127,NA,NA,NA,NA,NA
116934,2,0,0,127,NA,NA,NA,NA,NA
116935,1,116923,116908,127,NA,NA,NA,NA,NA
118804,1,116930,116931,127,-0.0245,-0.0138,0.0072,0.0026,-0.0214
118908,1,118804,118909,127,-0.0348,0.0374,0.0821,-0.0227,0.0127
118909,2,0,0,127,-0.0407,0.0975,0.1711,-0.054,0.0561
10101,2,0,0,128,-0.0376,0.05,0.0011,0.0237,-0.0407
10303,1,10918,10101,128,-0.0335,0.0342,-0.0015,0.0146,-0.0279
10304,2,10918,10101,128,-0.0351,0.0395,-0.0047,0.0147,-0.0302
10401,2,10303,10914,128,-0.0272,0.0474,-0.0336,-0.0871,0.0045
10402,2,10303,10914,128,NA,NA,NA,NA,NA
10403,2,10303,10914,128,NA,NA,NA,NA,NA
10901,2,0,0,128,-0.0353,0.0558,-0.2197,-0.451,0.0811
10902,1,10917,10916,128,NA,NA,NA,NA,NA
10903,2,10915,10901,128,-0.0386,0.0542,-0.0801,-0.2348,0.0473
10904,1,0,0,128,-0.0252,0.0339,-0.0221,0.0224,-0.0131
10905,2,10904,10903,128,NA,NA,NA,NA,NA
10906,1,10907,10908,128,-0.0353,0.0498,-0.0753,-0.1521,0.0181
10907,1,10915,10901,128,NA,NA,NA,NA,NA
10908,2,0,0,128,-0.033,0.0449,-0.0474,-0.0318,-0.021
10909,2,10904,10903,128,NA,NA,NA,NA,NA
10910,1,10912,10911,128,NA,NA,NA,NA,NA
10911,2,10915,10901,128,-0.0379,0.0545,-0.0741,-0.2281,0.0463
10912,1,0,0,128,NA,NA,NA,NA,NA
10913,1,10915,10901,128,NA,NA,NA,NA,NA
10914,2,10915,10901,128,-0.0407,0.066,-0.0678,-0.2323,0.044
10915,1,0,0,128,NA,NA,NA,NA,NA
10916,2,10915,10901,128,NA,NA,NA,NA,NA
10917,1,0,0,128,NA,NA,NA,NA,NA
10918,1,0,0,128,NA,NA,NA,NA,NA
116901,1,10915,10901,128,NA,NA,NA,NA,NA
