IID,sex,fa,mo,fid,pca1,pca2,pca3,pca4,pca5
70202,1,70915,70916,70,NA,NA,NA,NA,NA
70302,2,70202,70101,70,-0.0072,0.0212,-0.0115,0.0094,-0.0082
70304,2,70202,70101,70,-0.0128,0.0249,-0.0146,0.0096,-0.0064
70704,2,70915,70916,70,NA,NA,NA,NA,NA
70901,1,70915,70916,70,-0.0174,0.0269,-0.0082,0.0075,-0.0125
70902,1,0,0,70,0.0387,0.0274,-0.0138,0.0223,-0.0057
70903,2,70915,70916,70,-0.0149,0.0269,-0.0076,0.004,-0.0115
70904,1,70915,70916,70,-0.0174,0.0204,-0.0053,0.0067,-0.0068
70905,1,70902,70903,70,NA,NA,NA,NA,NA
70906,2,0,0,70,0.0367,0.0194,-0.0115,0.0257,-0.018
70907,1,70915,70916,70,NA,NA,NA,NA,NA
70908,2,70915,70916,70,NA,NA,NA,NA,NA
70909,1,102902,70910,70,NA,NA,NA,NA,NA
70910,2,70915,70916,70,-0.0139,0.0285,-0.008,0.0081,-0.0104
70915,1,0,0,70,NA,NA,NA,NA,NA
70916,2,0,0,70,NA,NA,NA,NA,NA
70917,1,0,0,70,NA,NA,NA,NA,NA
70918,2,0,0,70,NA,NA,NA,NA,NA
70919,1,70904,70906,70,NA,NA,NA,NA,NA
99823,1,0,0,70,NA,NA,NA,NA,NA
99824,1,0,0,70,NA,NA,NA,NA,NA
72101,2,72501,72502,72,NA,NA,NA,NA,NA
72501,1,0,0,72,NA,NA,NA,NA,NA
72502,2,0,0,72,NA,NA,NA,NA,NA
73101,2,73501,73502,73,-0.0178,-0.0051,-0.0159,0.0142,0.0122
73201,1,0,0,73,-0.005,-0.0752,0.0438,-0.0268,-0.0841
73501,1,73906,73905,73,-0.0077,-0.0233,-0.0106,0.019,0.0367
73502,2,73908,73907,73,-0.0242,0.0072,-0.0237,0.0059,-6.00E-04
73601,1,73501,73502,73,-0.0134,0.002,-0.0153,0.0159,0.0063
73608,2,73501,73502,73,-0.0227,-0.0129,-0.021,0.0124,0.0255
73701,2,73601,73910,73,NA,NA,NA,NA,NA
73704,1,73901,73608,73,-0.0271,-0.0029,-0.0079,0.0115,-0.0057
73801,1,73908,73907,73,-0.0262,0.0076,-0.0192,0.0059,-0.0018
73803,2,73908,73907,73,-0.019,0.0038,-0.016,0.0051,-0.0031
73804,2,73908,73907,73,-0.0256,0.0099,-0.0193,0,-0.003
73808,2,73906,73905,73,0.0051,-0.042,-0.0016,0.0249,0.0458
73809,2,73906,73905,73,0.0041,-0.0394,-0.0065,0.0272,0.0467
73810,1,73906,73905,73,-0.0037,-0.0296,-0.0091,0.0236,0.0413
73901,1,0,0,73,-0.0372,-8.00E-04,0.0072,0.0143,-0.0285
73905,2,0,0,73,NA,NA,NA,NA,NA
73906,1,0,0,73,NA,NA,NA,NA,NA
73907,2,0,0,73,NA,NA,NA,NA,NA
73908,1,0,0,73,NA,NA,NA,NA,NA
73909,1,73201,73101,73,NA,NA,NA,NA,NA
73910,2,0,0,73,NA,NA,NA,NA,NA
74101,1,74922,74502,74,-0.0257,0.034,-0.0035,-0.0079,-0.0019
74201,2,0,0,74,-0.036,-0.0472,0.0164,0.0153,0.0374
74301,2,74101,74201,74,-0.0331,-0.0068,0.0118,0.0023,0.0107
74302,1,74101,74201,74,-0.0362,-2.00E-04,0.0034,9.00E-04,0.0154
74502,2,0,0,74,NA,NA,NA,NA,NA
74602,1,74922,74502,74,NA,NA,NA,NA,NA
74604,2,74922,74502,74,-0.0247,0.0387,-0.0087,-0.0206,-6.00E-04
74605,2,74922,74502,74,-0.026,0.0337,-0.0087,-0.0132,0.0039
74701,2,74602,74903,74,NA,NA,NA,NA,NA
74704,1,74902,74604,74,NA,NA,NA,NA,NA
74804,1,74920,74921,74,-0.0262,0.0365,-0.024,-0.0335,-0.0011
74805,1,74920,74921,74,-0.0265,0.0374,-0.0257,-0.0372,9.00E-04
74901,1,74804,74904,74,NA,NA,NA,NA,NA
74902,1,74925,74924,74,-0.0402,0.0496,0.1017,-0.0224,0.0251
74903,2,0,0,74,NA,NA,NA,NA,NA
74904,2,0,0,74,NA,NA,NA,NA,NA
74905,1,74804,74904,74,NA,NA,NA,NA,NA
74906,1,74804,74904,74,-0.039,0.083,0.1274,-0.0465,0.0413
74907,1,74804,74904,74,-0.0389,0.0872,0.1299,-0.05,0.0469
74908,2,74804,74904,74,-0.0339,0.0809,0.1242,-0.0526,0.0387
74909,1,74804,74904,74,-0.0393,0.0857,0.1232,-0.0627,0.0508
74910,1,74925,74924,74,-0.0381,0.054,0.0916,-0.0192,0.0282
74911,1,74925,74924,74,-0.0395,0.0535,0.0993,-0.0204,0.0254
74912,1,74925,74924,74,NA,NA,NA,NA,NA
74920,1,0,0,74,NA,NA,NA,NA,NA
74921,2,0,0,74,NA,NA,NA,NA,NA
74922,1,74920,74921,74,NA,NA,NA,NA,NA
74924,2,0,0,74,NA,NA,NA,NA,NA
74925,1,0,0,74,NA,NA,NA,NA,NA
116917,1,74925,74924,74,-0.0412,0.0606,0.1095,-0.0222,0.0337
75101,2,75922,75921,75,-0.026,-0.0035,-0.0126,0.0048,-0.0103
75202,1,0,0,75,NA,NA,NA,NA,NA
75301,2,75924,75101,75,NA,NA,NA,NA,NA
75602,2,75922,75921,75,NA,NA,NA,NA,NA
75603,1,75922,75921,75,-0.0273,0.0014,-0.005,0.0113,-0.0045
75605,1,75922,75921,75,-0.0248,-0.0058,-0.0032,0.0122,-0.0093
75606,2,75922,75921,75,-0.0273,0.0061,-0.0211,0.0092,-0.012
75607,1,75922,75921,75,NA,NA,NA,NA,NA
75701,2,75923,75602,75,NA,NA,NA,NA,NA
75704,2,75603,75901,75,NA,NA,NA,NA,NA
75705,2,75603,75901,75,-0.0249,0.0153,-0.031,0.041,-0.0061
75709,1,75603,75901,75,NA,NA,NA,NA,NA
75710,1,75926,75606,75,NA,NA,NA,NA,NA
75801,1,75927,75928,75,-0.0223,-0.008,-0.0039,0.0071,-0.0073
75802,1,75917,75918,75,NA,NA,NA,NA,NA
75901,2,0,0,75,-0.0271,0.0358,-0.0486,0.0582,-0.014
